IPV6央视,#genre#
江苏教育,http://p.ytelc.com/169l/0/aikan.php?id=jsjy
游戏风云,http://p.ytelc.com/169l/0/aikan.php?id=yxfy
CCTV1,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265001/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265001&livemode=1&stbId=no
CCTV2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no
CCTV2,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no
CCTV3,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265003/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=no
CCTV3,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265003/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265003&livemode=1&stbId=no
CCTV4,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=no
CCTV4,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265004/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265004&livemode=1&stbId=no
CCTV5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265005/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=no
CCTV5,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265005/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=no
CCTV5+,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265016/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=no
CCTV5+,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265016/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=no
CCTV6,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000001737/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=no
CCTV6,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000001737/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=no
CCTV7,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000024341/index.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=no
CCTV7,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000024341/index.m3u8?channel-id=ystenlive&Contentid=1000000001000024341&livemode=1&stbId=no
CCTV8,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265008/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=no
CCTV8,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265008/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265008&livemode=1&stbId=no
CCTV9,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000014583/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=no
CCTV9,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000014583/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014583&livemode=1&stbId=no
CCTV10,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023734/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=no
CCTV10,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023734/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023734&livemode=1&stbId=no
CCTV10,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000004000012827/index.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=no
CCTV10,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000004000012827/index.m3u8?channel-id=bestzb&Contentid=5000000004000012827&livemode=1&stbId=no
CCTV11,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265011/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=no
CCTV11,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265011/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265011&livemode=1&stbId=no
CCTV11,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031106/index.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=no
CCTV11,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031106/index.m3u8?channel-id=bestzb&Contentid=5000000011000031106&livemode=1&stbId=no
CCTV12,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000032494/index.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=no
CCTV12,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000032494/index.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=no
CCTV13,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031108/index.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=no
CCTV13,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031108/index.m3u8?channel-id=bestzb&Contentid=5000000011000031108&livemode=1&stbId=no
CCTV14,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000008170/index.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=no
CCTV14,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000008170/index.m3u8?channel-id=ystenlive&Contentid=1000000001000008170&livemode=1&stbId=no
CCTV15,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031109/index.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=no
CCTV15,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031109/index.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=no
CCTV15,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265014/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=no
CCTV15,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265014/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=no
CCTV16,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=3$4K
CCTV16,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=no$4K
CCTV16,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000008000023254/index.m3u8?channel-id=bestzb&Contentid=5000000008000023254&livemode=1&stbId=no$4K
CCTV17,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265015/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=no
CCTV1,http://106.46.33.113:808/hls/1/index.m3u8
CCTV10,http://106.46.33.113:808/hls/10/index.m3u8
CCTV11,http://106.46.33.113:808/hls/11/index.m3u8
CCTV12,http://106.46.33.113:808/hls/12/index.m3u8
CCTV13,http://106.46.33.113:808/hls/13/index.m3u8
CCTV14,http://106.46.33.113:808/hls/14/index.m3u8
CCTV15,http://106.46.33.113:808/hls/15/index.m3u8
CCTV17,http://106.46.33.113:808/hls/17/index.m3u8
CCTV2,http://106.46.33.113:808/hls/2/index.m3u8
CCTV3,http://106.46.33.113:808/hls/3/index.m3u8
CCTV4,http://106.46.33.113:808/hls/4/index.m3u8
CCTV5,http://106.46.33.113:808/hls/18/index.m3u8
CCTV5,http://106.46.33.113:808/hls/5/index.m3u8
CCTV6,http://106.46.33.113:808/hls/6/index.m3u8
CCTV7,http://106.46.33.113:808/hls/7/index.m3u8
CCTV8,http://106.46.33.113:808/hls/8/index.m3u8
CCTV9,http://106.46.33.113:808/hls/9/index.m3u8
CCTV1,http://116.227.232.149:7777/tsfile/live/0001_1.m3u8
CCTV10,http://116.227.232.149:7777/tsfile/live/0010_1.m3u8
CCTV11,http://116.227.232.149:7777/tsfile/live/0011_1.m3u8
CCTV12,http://116.227.232.149:7777/tsfile/live/0012_1.m3u8
CCTV13,http://116.227.232.149:7777/tsfile/live/0013_1.m3u8
CCTV14,http://116.227.232.149:7777/tsfile/live/0014_1.m3u8
CCTV15,http://116.227.232.149:7777/tsfile/live/0015_1.m3u8
CCTV17,http://116.227.232.149:7777/tsfile/live/1039_1.m3u8
CCTV2,http://116.227.232.149:7777/tsfile/live/0002_1.m3u8
CCTV3,http://116.227.232.149:7777/tsfile/live/0003_1.m3u8
CCTV4,http://116.227.232.149:7777/tsfile/live/0004_1.m3u8
CCTV5,http://116.227.232.149:7777/tsfile/live/0005_1.m3u8
CCTV5,http://116.227.232.149:7777/tsfile/live/0016_1.m3u8
CCTV6,http://116.227.232.149:7777/tsfile/live/0006_1.m3u8
CCTV7,http://116.227.232.149:7777/tsfile/live/0007_1.m3u8
CCTV8,http://116.227.232.149:7777/tsfile/live/0008_1.m3u8
CCTV9,http://116.227.232.149:7777/tsfile/live/0009_1.m3u8
CCTV1,http://171.119.207.178:6000/rtp/226.0.2.153:9136
CCTV1,http://171.119.207.178:6000/rtp/226.0.2.16:8040
CCTV10,http://171.119.207.178:6000/rtp/226.0.2.162:9208
CCTV12,http://171.119.207.178:6000/rtp/226.0.2.164:9224
CCTV13,http://171.119.207.178:6000/rtp/226.0.2.165:9232
CCTV16,http://171.119.207.178:6000/rtp/226.0.2.169:9264
CCTV17,http://171.119.207.178:6000/rtp/226.0.2.170:9272
CCTV2,http://171.119.207.178:6000/rtp/226.0.2.154:9144
CCTV3,http://171.119.207.178:6000/rtp/226.0.2.208:9576
CCTV4,http://171.119.207.178:6000/rtp/226.0.2.156:9160
CCTV5,http://171.119.207.178:6000/rtp/226.0.2.209:9584
CCTV6,http://171.119.207.178:6000/rtp/226.0.2.210:9592
CCTV7,http://171.119.207.178:6000/rtp/226.0.2.159:9184
CCTV8,http://171.119.207.178:6000/rtp/226.0.2.211:9600
CCTV9,http://171.119.207.178:6000/rtp/226.0.2.161:9200
CCTV世界地理,http://171.119.207.178:6000/rtp/226.0.2.222:9688
CCTV兵器科技,http://171.119.207.178:6000/rtp/226.0.2.223:9696
CCTV央视台球,http://171.119.207.178:6000/rtp/226.0.2.216:9640
CCTV央视文化精品,http://171.119.207.178:6000/rtp/226.0.2.219:9664
CCTV女性时尚,http://171.119.207.178:6000/rtp/226.0.2.226:9720
CCTV怀旧剧场,http://171.119.207.178:6000/rtp/226.0.2.224:9704
CCTV第一剧场,http://171.119.207.178:6000/rtp/226.0.2.221:9680
CCTV风云剧场,http://171.119.207.178:6000/rtp/226.0.2.227:9728
CCTV风云足球,http://171.119.207.178:6000/rtp/226.0.2.225:9712
CCTV风云音乐,http://171.119.207.178:6000/rtp/226.0.2.220:9672
CCTV高网,http://171.119.207.178:6000/rtp/226.0.2.217:9648
CETV1,http://171.119.207.178:6000/rtp/226.0.2.181:9360
CETV早期教育,http://171.119.207.178:6000/rtp/226.0.2.99:8704
CCTV10,http://27.11.250.143:8004/udp/225.0.4.130:7980
CCTV12,http://27.11.250.143:8004/udp/225.0.4.129:7980
CCTV14,http://27.11.250.143:8004/udp/225.0.4.128:7980
CCTV17,http://27.11.250.143:8004/udp/225.0.4.179:7980
CCTV2,http://27.11.250.143:8004/udp/225.0.4.132:7980
CCTV3,http://27.11.250.143:8004/udp/225.0.4.142:7980
CCTV4,http://27.11.250.143:8004/udp/225.0.4.176:7980
CCTV5,http://27.11.250.143:8004/udp/225.0.4.143:7980
CCTV5,http://27.11.250.143:8004/udp/225.0.4.73:7980
CCTV6,http://27.11.250.143:8004/udp/225.0.4.144:7980
CCTV7,http://27.11.250.143:8004/udp/225.0.4.127:7980
CCTV8,http://27.11.250.143:8004/udp/225.0.4.137:7980
CCTV9,http://27.11.250.143:8004/udp/225.0.4.131:7980
CCTV1,http://27.11.250.143:8001/udp/225.0.4.74:7980
CCTV12,http://27.11.250.143:8001/udp/225.0.4.129:7980
CCTV17,http://27.11.250.143:8001/udp/225.0.4.179:7980
CCTV2,http://27.11.250.143:8001/udp/225.0.4.132:7980
CCTV3,http://27.11.250.143:8001/udp/225.0.4.142:7980
CCTV4,http://27.11.250.143:8001/udp/225.0.4.176:7980
CCTV5,http://27.11.250.143:8001/udp/225.0.4.143:7980
CCTV5,http://27.11.250.143:8001/udp/225.0.4.73:7980
CCTV6,http://27.11.250.143:8001/udp/225.0.4.144:7980
CCTV7,http://27.11.250.143:8001/udp/225.0.4.127:7980
CCTV8,http://27.11.250.143:8001/udp/225.0.4.137:7980
CCTV1,http://27.11.250.143:8003/udp/225.0.4.74:7980
CCTV12,http://27.11.250.143:8003/udp/225.0.4.129:7980
CCTV14,http://27.11.250.143:8003/udp/225.0.4.128:7980
CCTV17,http://27.11.250.143:8003/udp/225.0.4.179:7980
CCTV2,http://27.11.250.143:8003/udp/225.0.4.132:7980
CCTV4,http://27.11.250.143:8003/udp/225.0.4.176:7980
CCTV5,http://27.11.250.143:8003/udp/225.0.4.143:7980
CCTV5,http://27.11.250.143:8003/udp/225.0.4.73:7980
CCTV6,http://27.11.250.143:8003/udp/225.0.4.144:7980
CCTV7,http://27.11.250.143:8003/udp/225.0.4.127:7980
CCTV8,http://27.11.250.143:8003/udp/225.0.4.137:7980
CCTV9,http://27.11.250.143:8003/udp/225.0.4.131:7980
CCTV1,http://27.11.250.143:8002/udp/225.0.4.74:7980
CCTV10,http://27.11.250.143:8002/udp/225.0.4.130:7980
CCTV12,http://27.11.250.143:8002/udp/225.0.4.129:7980
CCTV14,http://27.11.250.143:8002/udp/225.0.4.128:7980
CCTV17,http://27.11.250.143:8002/udp/225.0.4.179:7980
CCTV2,http://27.11.250.143:8002/udp/225.0.4.132:7980
CCTV3,http://27.11.250.143:8002/udp/225.0.4.142:7980
CCTV4,http://27.11.250.143:8002/udp/225.0.4.176:7980
CCTV5,http://27.11.250.143:8002/udp/225.0.4.143:7980
CCTV5,http://27.11.250.143:8002/udp/225.0.4.73:7980
CCTV6,http://27.11.250.143:8002/udp/225.0.4.144:7980
CCTV7,http://27.11.250.143:8002/udp/225.0.4.127:7980
CCTV8,http://27.11.250.143:8002/udp/225.0.4.137:7980
CCTV9,http://27.11.250.143:8002/udp/225.0.4.131:7980
CCTV10,http://202.103.213.10:8888/udp/239.81.0.118:4056
CCTV11,http://202.103.213.10:8888/udp/239.81.0.229:4056
CCTV12,http://202.103.213.10:8888/udp/239.81.0.119:4056
CCTV14,http://202.103.213.10:8888/udp/239.81.0.120:4056
CCTV15,http://202.103.213.10:8888/udp/239.81.0.230:4056
CCTV17,http://202.103.213.10:8888/udp/239.81.0.228:4056
CCTV2,http://202.103.213.10:8888/udp/239.81.0.115:4056
CCTV4,http://202.103.213.10:8888/udp/239.81.0.96:4056
CCTV9,http://202.103.213.10:8888/udp/239.81.0.117:4056
CETV1,http://202.103.213.10:8888/udp/239.81.0.92:4056

CCTV1,http://222.188.160.161:4022/rtp/239.49.8.129:6000
CCTV10,http://222.188.160.161:4022/rtp/239.49.8.134:6000
CCTV12,http://222.188.160.161:4022/rtp/239.49.8.135:6000
CCTV14,http://222.188.160.161:4022/rtp/239.49.8.136:6000
CCTV2,http://222.188.160.161:4022/rtp/239.49.8.130:6000
CCTV4,http://222.188.160.161:4022/rtp/239.49.8.131:6000


IPV6卫视,#genre#
东方卫视,http://kxrj.site:998/123/mg.php?id=dfws
吉林卫视,http://kxrj.site:998/123/mg.php?id=jlws
青海卫视,http://kxrj.site:998/123/mg.php?id=qhws
陕西卫视,http://kxrj.site:998/123/mg.php?id=sxws
湖北卫视,http://kxrj.site:998/123/mg.php?id=hubws
江西卫视,http://kxrj.site:998/123/mg.php?id=jxws
江苏卫视,http://kxrj.site:998/123/mg.php?id=jsws
广东卫视,http://kxrj.site:998/123/mg.php?id=gdws
湾区卫视,http://kxrj.site:998/123/mg.php?id=dwqws
海南卫视,http://kxrj.site:998/123/mg.php?id=hinws
东南卫视,http://106.46.33.113:808/hls/83/index.m3u8
东方卫视,http://106.46.33.113:808/hls/62/index.m3u8
云南卫视,http://106.46.33.113:808/hls/79/index.m3u8
北京卫视,http://106.46.33.113:808/hls/64/index.m3u8
吉林卫视,http://106.46.33.113:808/hls/81/index.m3u8
四川卫视,http://106.46.33.113:808/hls/76/index.m3u8
天津卫视,http://106.46.33.113:808/hls/78/index.m3u8
安徽卫视,http://106.46.33.113:808/hls/68/index.m3u8
山东卫视,http://106.46.33.113:808/hls/67/index.m3u8
广东卫视,http://106.46.33.113:808/hls/65/index.m3u8
广西卫视,http://106.46.33.113:808/hls/85/index.m3u8
江苏卫视,http://106.46.33.113:808/hls/63/index.m3u8
江西卫视,http://106.46.33.113:808/hls/73/index.m3u8
河北卫视,http://106.46.33.113:808/hls/72/index.m3u8
浙江卫视,http://106.46.33.113:808/hls/61/index.m3u8
海南卫视,http://106.46.33.113:808/hls/88/index.m3u8
深圳卫视,http://106.46.33.113:808/hls/75/index.m3u8
湖北卫视,http://106.46.33.113:808/hls/77/index.m3u8
湖南卫视,http://106.46.33.113:808/hls/74/index.m3u8
甘肃卫视,http://106.46.33.113:808/hls/89/index.m3u8
贵州卫视,http://106.46.33.113:808/hls/71/index.m3u8
辽宁卫视,http://106.46.33.113:808/hls/69/index.m3u8
重庆卫视,http://106.46.33.113:808/hls/80/index.m3u8
陕西卫视,http://106.46.33.113:808/hls/70/index.m3u8
青海卫视,http://106.46.33.113:808/hls/90/index.m3u8
黑龙江卫视,http://106.46.33.113:808/hls/66/index.m3u8
东南卫视,http://116.227.232.149:7777/tsfile/live/0137_1.m3u8
东方卫视,http://116.227.232.149:7777/tsfile/live/0107_1.m3u8
云南卫视,http://116.227.232.149:7777/tsfile/live/0119_1.m3u8
北京卫视,http://116.227.232.149:7777/tsfile/live/0122_1.m3u8
吉林卫视,http://116.227.232.149:7777/tsfile/live/0116_1.m3u8
四川卫视,http://116.227.232.149:7777/tsfile/live/0123_1.m3u8
天津卫视,http://116.227.232.149:7777/tsfile/live/0135_1.m3u8
安徽卫视,http://116.227.232.149:7777/tsfile/live/0130_1.m3u8
山东卫视,http://116.227.232.149:7777/tsfile/live/0131_1.m3u8
广东卫视,http://116.227.232.149:7777/tsfile/live/0125_1.m3u8
广西卫视,http://116.227.232.149:7777/tsfile/live/0113_1.m3u8
江苏卫视,http://116.227.232.149:7777/tsfile/live/0127_1.m3u8
江西卫视,http://116.227.232.149:7777/tsfile/live/0138_1.m3u8
河北卫视,http://116.227.232.149:7777/tsfile/live/0117_1.m3u8
河南卫视,http://116.227.232.149:7777/tsfile/live/0139_1.m3u8
浙江卫视,http://116.227.232.149:7777/tsfile/live/0124_1.m3u8
海南卫视,http://116.227.232.149:7777/tsfile/live/1055_1.m3u8
深圳卫视,http://116.227.232.149:7777/tsfile/live/0126_1.m3u8
湖北卫视,http://116.227.232.149:7777/tsfile/live/0132_1.m3u8
湖南卫视,http://116.227.232.149:7777/tsfile/live/0128_1.m3u8
甘肃卫视,http://116.227.232.149:7777/tsfile/live/0141_1.m3u8
贵州卫视,http://116.227.232.149:7777/tsfile/live/0120_1.m3u8
辽宁卫视,http://116.227.232.149:7777/tsfile/live/0121_1.m3u8
重庆卫视,http://116.227.232.149:7777/tsfile/live/0142_1.m3u8
黑龙江卫视,http://116.227.232.149:7777/tsfile/live/0143_1.m3u8
东南卫视,http://171.119.207.178:6000/rtp/226.0.2.188:9416
东方卫视,http://171.119.207.178:6000/rtp/226.0.2.175:9312
北京卫视,http://171.119.207.178:6000/rtp/226.0.2.177:9328
吉林卫视,http://171.119.207.178:6000/rtp/226.0.2.58:8376
四川卫视,http://171.119.207.178:6000/rtp/226.0.2.179:9344
天津卫视,http://171.119.207.178:6000/rtp/226.0.2.148:9096
山东卫视,http://171.119.207.178:6000/rtp/226.0.2.149:9104
山西卫视,http://171.119.207.178:6000/rtp/226.0.2.152:9128
广东卫视,http://171.119.207.178:6000/rtp/226.0.2.146:9080
广西卫视,http://171.119.207.178:6000/rtp/226.0.2.231:9760
江苏卫视,http://171.119.207.178:6000/rtp/226.0.2.176:9320
江西卫视,http://171.119.207.178:6000/rtp/226.0.2.54:8344
河北卫视,http://171.119.207.178:6000/rtp/226.0.2.178:9336
河南卫视,http://171.119.207.178:6000/rtp/226.0.2.52:8328
浙江卫视,http://171.119.207.178:6000/rtp/226.0.2.144:9064
海南卫视,http://171.119.207.178:6000/rtp/226.0.2.212:9608
湖北卫视,http://171.119.207.178:6000/rtp/226.0.2.150:9112
湖南卫视,http://171.119.207.178:6000/rtp/226.0.2.143:9056
贵州卫视,http://171.119.207.178:6000/rtp/226.0.2.180:9352
辽宁卫视,http://171.119.207.178:6000/rtp/226.0.2.173:9296
重庆卫视,http://171.119.207.178:6000/rtp/226.0.2.174:9304
黑龙江卫视,http://171.119.207.178:6000/rtp/226.0.2.151:9120
北京卫视,http://27.11.250.143:8004/udp/225.0.4.78:7980
天津卫视,http://27.11.250.143:8004/udp/225.0.4.82:7980
安徽卫视,http://27.11.250.143:8004/udp/225.0.4.133:7980
山东卫视,http://27.11.250.143:8004/udp/225.0.4.199:7980
河北卫视,http://27.11.250.143:8004/udp/225.0.4.174:7980
浙江卫视,http://27.11.250.143:8004/udp/225.0.4.81:7980
湖南卫视,http://27.11.250.143:8004/udp/225.0.4.75:7980
贵州卫视,http://27.11.250.143:8004/udp/225.0.4.175:7980
辽宁卫视,http://27.11.250.143:8004/udp/225.0.4.98:7980
东方卫视,http://27.11.250.143:8001/udp/225.0.4.80:7980
北京卫视,http://27.11.250.143:8001/udp/225.0.4.78:7980
安徽卫视,http://27.11.250.143:8001/udp/225.0.4.133:7980
山东卫视,http://27.11.250.143:8001/udp/225.0.4.199:7980
广东卫视,http://27.11.250.143:8001/udp/225.0.4.84:7980
江苏卫视,http://27.11.250.143:8001/udp/225.0.4.79:7980
浙江卫视,http://27.11.250.143:8001/udp/225.0.4.81:7980
湖南卫视,http://27.11.250.143:8001/udp/225.0.4.75:7980
贵州卫视,http://27.11.250.143:8001/udp/225.0.4.175:7980
辽宁卫视,http://27.11.250.143:8001/udp/225.0.4.98:7980
重庆卫视,http://27.11.250.143:8001/udp/225.0.4.187:7980
东方卫视,http://27.11.250.143:8003/udp/225.0.4.80:7980
天津卫视,http://27.11.250.143:8003/udp/225.0.4.82:7980
山东卫视,http://27.11.250.143:8003/udp/225.0.4.199:7980
广东卫视,http://27.11.250.143:8003/udp/225.0.4.84:7980
江苏卫视,http://27.11.250.143:8003/udp/225.0.4.79:7980
河北卫视,http://27.11.250.143:8003/udp/225.0.4.174:7980
浙江卫视,http://27.11.250.143:8003/udp/225.0.4.81:7980
湖南卫视,http://27.11.250.143:8003/udp/225.0.4.75:7980
贵州卫视,http://27.11.250.143:8003/udp/225.0.4.175:7980
辽宁卫视,http://27.11.250.143:8003/udp/225.0.4.98:7980
重庆卫视,http://27.11.250.143:8003/udp/225.0.4.187:7980
东方卫视,http://27.11.250.143:8002/udp/225.0.4.80:7980
天津卫视,http://27.11.250.143:8002/udp/225.0.4.82:7980
安徽卫视,http://27.11.250.143:8002/udp/225.0.4.133:7980
山东卫视,http://27.11.250.143:8002/udp/225.0.4.199:7980
广东卫视,http://27.11.250.143:8002/udp/225.0.4.84:7980
河北卫视,http://27.11.250.143:8002/udp/225.0.4.174:7980
浙江卫视,http://27.11.250.143:8002/udp/225.0.4.81:7980
湖南卫视,http://27.11.250.143:8002/udp/225.0.4.75:7980
贵州卫视,http://27.11.250.143:8002/udp/225.0.4.175:7980
辽宁卫视,http://27.11.250.143:8002/udp/225.0.4.98:7980
重庆卫视,http://27.11.250.143:8002/udp/225.0.4.187:7980
东南卫视,http://115.206.149.104:9988/udp/233.50.201.146:5140
东方卫视,http://115.206.149.104:9988/udp/233.50.201.125:5140
东方卫视,http://115.206.149.104:9988/udp/233.50.201.125:5140
北京卫视,http://115.206.149.104:9988/udp/233.50.201.107:5140
北京卫视,http://115.206.149.104:9988/udp/233.50.201.107:5140
四川卫视,http://115.206.149.104:9988/udp/233.50.201.139:5140
